beta,Energy,Mx,My,M2x,M2y,M3x,M3y,I,S
1.55,-812.5,-102.5,-239.889,62.5,47.6314,88,3.77191e-14,390.5,-4.33013
1.55,-1117.5,81.5,-134.234,98.5,-116.913,-100,1.49652e-13,560.5,-7.79423
1.55,-1125,-60.5,64.9519,14.5,-97.8609,-74,9.58898e-14,568,6.9282
1.55,-1001.5,78.5,12.9904,131.5,-149.822,-64,1.38875e-13,502.5,-18.1865
1.55,-1136,159.5,142.894,83.5,19.9186,-10,8.11941e-14,554.5,25.1147
1.55,-1212.5,156.5,59.7558,-45.5,-49.3634,-58,1.00299e-13,600.5,18.1865
1.55,-802,20,142.028,-68,-17.3205,14,4.61692e-14,411.5,11.2583
1.55,-990,-49,48.4974,25,100.459,-16,3.99235e-14,481,-17.3205
1.55,-1063.5,-44.5,-118.645,23.5,38.9711,50,4.49445e-14,518,12.1244
1.55,-831.5,60,-24.2487,154,55.4256,102,4.76388e-14,427,-13.8564
1.55,-798,-53,88.3346,-20,13.8564,40,3.23307e-14,421,-8.66025
1.55,-922,-21,-12.1244,-5,-88.3346,48,6.44164e-14,473.5,49.3634
1.55,-889.5,-172,-3.4641,55,-57.1577,44,4.72714e-14,449.5,11.2583
1.55,-1138,-141,-86.6025,139,-72.7461,6,8.21738e-14,562,6.9282
1.55,-1130,-2.5,87.4686,-36.5,23.3827,8,4.43322e-14,554,-22.5167
1.55,-1178,-7.5,-167.143,-24.5,-14.7224,-66,9.39304e-14,597,-1.73205
1.55,-1171,-137,-8.66025,31,22.5167,10,4.24952e-14,589,24.2487
1.55,-957,-43,-138.564,-77,6.9282,-22,6.30693e-14,493,-1.73205
1.55,-1239,-119,-152.42,85,-20.7846,-74,9.63797e-14,621,-29.4449
1.55,-1060.5,-108,-19.0526,58,98.7269,90,9.42978e-15,524,6.10623e-15
1.55,-1008,41,168.009,13,8.66025,26,4.76388e-14,499.5,-25.1147
1.55,-995.5,63.5,7.79423,152.5,-161.947,-4,1.24179e-13,506.5,-0.866025
1.55,-1039,108,138.564,28,-38.1051,78,5.3762e-14,533.5,49.3634
1.55,-1023,71,91.7987,25,-122.976,32,8.42557e-14,519.5,-12.9904
1.55,-964.5,-48.5,-85.7365,-27.5,129.038,52,1.61653e-14,480,-39.8372
1.55,-1165.5,-1.5,-77.0763,50.5,-68.416,-42,1.01523e-13,576,20.7846
1.55,-1243,115.5,-63.2199,86.5,-0.866025,54,7.55607e-14,629,-22.5167
1.55,-1080.5,-96,221.703,-14,-69.282,18,4.27402e-14,553,38.1051
1.55,-1088.5,66.5,-87.4686,110.5,-165.411,-46,1.39732e-13,549.5,-11.2583
1.55,-1182.5,37.5,-35.507,26.5,-70.1481,-18,9.34406e-14,611,-8.66025
1.55,-1111.5,-26,-1.73205,31,-72.7461,-56,9.60123e-14,558,-10.3923
1.55,-1206,29,38.1051,67,-24.2487,-16,8.18064e-14,595.5,-16.4545
1.55,-1249.5,-14.5,0.866025,164.5,84.0045,32,5.33946e-14,649,5.19615
1.55,-1109,143,39.8372,127,15.5885,20,8.35209e-14,561,1.73205
1.55,-1269.5,184.5,80.5404,92.5,30.3109,192,2.57176e-14,639,-32.909
1.55,-1038.5,60,-154.153,40,-64.0859,72,7.73977e-14,503.5,-21.6506
1.55,-1051,-31.5,-161.947,-75.5,-111.717,-66,1.04952e-13,532.5,12.9904
1.55,-1147.5,153.5,-146.358,-45.5,-129.038,-70,1.35079e-13,555.5,12.9904
1.55,-1050.5,103,150.688,-8,38.1051,-62,7.4581e-14,500,-6.9282
